"","logFC","AveExpr","t","P.Value","adj.P.Val"
"GALNT15",-3.43819406181461,2.18973924249502,-4.34108731254909,1.3062860592504e-05,0.00242885273877713
"MAMSTR",-3.96075193517458,2.76131898198234,-4.33959551915634,1.31760320066657e-05,0.00242885273877713
"DEPDC1B",-4.30768741405269,3.10031490963986,-4.33418253038744,1.35059529965068e-05,0.00245015137773137
"AATK",-4.39745661726438,2.92552749296397,-4.31386489448344,1.46746955040047e-05,0.00262057960805109
"PREX2",-4.31068350918728,2.27427351716869,-4.27769261969998,1.69577295031013e-05,0.00298169062293761
"SLC47A1",-3.80893843927212,3.87341497347202,-4.26773074131715,1.75732339113933e-05,0.00304309833898961
"HRCT1",-3.74657526345306,2.22994767357712,-4.26376955300748,1.78466433265421e-05,0.00304431771013508
"LINC02361",-3.94534760447659,3.40574343005089,-4.24779389936589,1.9047652085014e-05,0.00320140611293566
"CYP2F1",2.84655492973793,2.50201227548708,4.24043358182454,1.95275858725875e-05,0.00323450404257685
"DNAJB5",-3.84841688497206,3.15378460484645,-4.20733390567177,2.23529673175312e-05,0.00364960090674378
"TSPAN18",-3.8698949712789,2.41106500817898,-4.19494205418838,2.34799664263162e-05,0.00377961318713194
"ODAPH",-3.58843910977617,2.2337328071997,-4.18997606720928,2.38994480424715e-05,0.00379370543996399
"FSCN1",-4.59268849888032,3.53690372750622,-4.18171622000464,2.49417844517327e-05,0.00390492677395689
"ZNF367",-4.16697411036786,3.37032350900032,-4.17179230459389,2.57982894381191e-05,0.00398444121605761
"SMIM24",-3.56534960822102,2.33875140576153,-4.16158177329878,2.67221299750287e-05,0.00407209631312805
"IL21",-3.43414089019042,2.20500250451957,-4.12180201934156,3.12009450039633e-05,0.00467794272927689
"SCARB1",-4.21513043971479,4.06901462667242,-4.12094552688834,3.15164572713554e-05,0.00467794272927689
"C11orf96",-4.38839843995401,2.58893145667871,-4.08194699481283,3.67792360151761e-05,0.00538910113355702
"COL13A1",-3.58370138644913,2.26126883370033,-4.05192642698545,4.09498765266505e-05,0.00592425492181125
"TNXB",-3.96811346669025,2.36533588540992,-4.04459987046454,4.22731348977137e-05,0.00601104933356579
"RUNDC3A-AS1",-3.56661078971425,2.33343172289593,-4.04162941287961,4.26017145873505e-05,0.00601104933356579
"MS4A2",-3.62568173854831,2.50923046568063,-4.03084597289381,4.44257852778829e-05,0.00619197926757224
"HIST1H2AD",-3.44312676115187,2.17099186970441,-4.02297399947292,4.57287349495067e-05,0.00629679170768569
"MGP",-3.10758694991947,2.42969347591323,-4.01148443259238,4.7705177412688e-05,0.00649074372201919
"ENPP1",-4.32153092894942,2.84375205642322,-3.98085865291169,5.42591037749287e-05,0.00722151154365038
"FAM153C",-4.87836757109138,2.63830748873372,-3.98320865038017,5.43398366220957e-05,0.00722151154365038
"SHE",-3.41060003267612,2.29967209392142,-3.97020581749289,5.59224003819587e-05,0.00734640360879776
"ROBO4",-3.42276265353234,2.24978302868096,-3.93664994029439,6.35099258302423e-05,0.00824835161720272
"CEACAM21",-4.36245006509786,4.66978433699345,-3.93384303378742,6.49461886532277e-05,0.00834011224851392
"CHRNA6",-3.39740825564871,2.36388589332719,-3.92312929543303,6.68217043163849e-05,0.00848561398479959
"LDLRAD3",-3.87124066847085,3.41473030552661,-3.91083802433472,7.03215860340043e-05,0.00875550137788759
"TPSD1",-3.59775668967134,2.19714654281173,-3.90532573756595,7.15756252208787e-05,0.00875550137788759
"MND1",-4.58516998765754,3.34802326965952,-3.90791636362081,7.1955887645285e-05,0.00875550137788759
"SCGB3A2",-3.65324226668032,2.26834573063518,-3.90386062535311,7.20112984094351e-05,0.00875550137788759
"BMP6",-3.5614176191193,2.34861459556231,-3.89962125399638,7.31010418575045e-05,0.00876476573992193
