"","logFC","AveExpr","t","P.Value","adj.P.Val"
"IL17A",4.36501023164811,2.51658997306517,5.23651898241464,2.75171905854421e-07,0.000142951805091372
"GATD3A",3.6278654863876,2.74869202876401,5.05474159328024,6.25204384942875e-07,0.000310672213717918
"FBLN2",3.6303599693028,2.47442608589255,4.98196566216746,8.64262693186904e-07,0.000411569096684714
"IGLC7",3.59830688971551,2.22701651827475,4.94855231456322,1.00173397177059e-06,0.000457952702534642
"NXPH4",3.42376536912387,2.50448546585681,4.93043221507057,1.08475051291871e-06,0.00047490739235489
"RASSF6",3.16352287991191,2.64379417171334,4.92272842682682,1.12192664218934e-06,0.00047490739235489
"GRAMD1C",3.01506631794196,2.66481379505217,4.79064041192122,1.99412133934643e-06,0.000813957599549657
"TUBB2B",4.28581410705712,2.55033047560502,4.76714045316221,2.21269906829581e-06,0.000872032332812168
"TNFSF11",3.08845713229979,2.61286479058134,4.75334474328355,2.34149174275009e-06,0.000892030304263024
"TNFRSF13B",2.60459604460975,2.87578173738281,4.6911864505285,3.05370143215155e-06,0.00112583076348581
"IGHG1",3.37649466907875,2.76768192998174,4.67554269689831,3.26520770793576e-06,0.00116618934043743
"MARC2",2.67598600292597,2.43278258766932,4.6298304894546,3.96040566678605e-06,0.00137162049593024
"CCDC189",3.01055858313904,3.04243776067756,4.58831157298434,4.71671577468756e-06,0.00158551013496777
"HRK",2.91565540470044,2.63294444819215,4.57713447442024,4.94257224571942e-06,0.00161396166275221
"HIST1H1A",3.03415591975456,2.40624652886829,4.54332911926764,5.69246214142999e-06,0.00177599129367687
"CADM1",3.70702810156486,3.10590254714822,4.54124895526323,5.7495562049212e-06,0.00177599129367687
"HRASLS2",3.063558563566,2.69437425081018,4.46112809031437,8.00052939999106e-06,0.002406264487171
"SPC25",3.67565710516833,3.0284535488958,4.44062433943201,8.71652486723766e-06,0.00251586406565584
"CR2",3.52361376427475,2.45500411041211,4.43802794978133,8.80519403501913e-06,0.00251586406565584
"CSF3R",-4.94113946125603,4.39147654145539,-4.42341072826943,9.45415461323912e-06,0.00263540324572463
"VPREB3",2.76069982996423,2.73315675766786,4.35581750841384,1.22929605725438e-05,0.00334514872341913
"SOX5",2.61819537222017,2.64606644688439,4.28469522857234,1.63654696143474e-05,0.00433981504002152
"IGHA2",2.65894360582932,2.64287375296235,4.27952650776081,1.67076613667816e-05,0.00433981504002152
"MCM10",3.43804671233932,2.9983589662365,4.23064144185419,2.03315187676111e-05,0.0050890763620448
"TCL1A",4.06165776648542,2.78683691851018,4.22979773808237,2.04827642535708e-05,0.0050890763620448
"C16orf45",2.97716457671948,2.7091430954902,4.21543154562962,2.15667090546292e-05,0.00513796616341164
"GAS2L1",-4.38424696763485,4.37077658623524,-4.21754432204519,2.15786486870031e-05,0.00513796616341164
"KIF19",2.60196504277497,2.68181683164341,4.1749666231194,2.52876218071654e-05,0.00589820876804273
"ZNF608",2.87623956742075,2.77179831743035,4.16514511660333,2.62892321146612e-05,0.00600919267676927
"DEPDC1B",3.11902159912595,3.10031490963986,4.14585952276549,2.83673571611007e-05,0.00635706911753373
"MYL9",3.15115272621896,3.36562935278219,4.04658835314954,4.17019501752277e-05,0.00916285780007018
"PTPRG",2.06679046010172,2.25296126119244,4.0370449005135,4.31997569575522e-05,0.00916285780007018
"CD19",2.24220097922134,3.1948408171244,4.03648917868529,4.32928796223457e-05,0.00916285780007018
"KIF14",3.18033471293312,3.26409007844328,4.02787041526398,4.48162623674139e-05,0.00929075550832758
"JAM3",3.11081511430856,2.46956401415343,4.02248882760977,4.57380222814724e-05,0.00929075550832758
"MZB1",2.7488026740876,3.77738817867018,4.01885723162782,4.63359055013275e-05,0.00929075550832758
"CDK5R1",2.98350316005261,3.12154763041582,4.01170123050168,4.76460965000471e-05,0.00938874546377653
"CCDC170",-4.76924475557505,4.27507878860726,-4.01047988968645,4.88199110877922e-05,0.00945699599698945
"OSTN-AS1",2.76572538106718,2.77334120141047,3.9706027292905,5.56911217248318e-05,0.0106082305032184
"FXYD7",3.64628480817481,2.81415784670566,3.96708093814994,5.66972205354283e-05,0.0106228284180231
"FAM129C",3.10567595697484,2.60008506809087,3.91498743383637,6.87815648292269e-05,0.0125571552896221
