"","logFC","AveExpr","t","P.Value","adj.P.Val"
"IL33",-2.89221598385148,2.34108274974169,-4.67460172509057,3.27697671434958e-06,0.000834909643636219
"MUC5B",2.92677499437213,2.56570869089158,4.67386182840256,3.28733344681336e-06,0.000834909643636219
"CACNA2D1",-2.64448914109813,2.17747925210548,-4.6568076015767,3.53358835414398e-06,0.000877943071728511
"CLDN5",-2.36316921872205,2.23431073725002,-4.62424012332319,4.05474442683314e-06,0.000985993064984594
"MCF2L-AS1",-2.73859728908244,2.33866628883847,-4.61644656812965,4.19027860045661e-06,0.000997722794262887
"TMPRSS11B",1.86416036617054,2.21541016405634,4.6038534928608,4.41798948288653e-06,0.00103047350612062
"CXCL17",2.4416029391439,2.89510050922543,4.50943270257096,6.55186573903222e-06,0.00149762547062799
"CCL7",-2.72780519801776,2.50277268963354,-4.43885494331646,8.76477172300178e-06,0.00196416815729779
"C16orf89",2.1664673875631,2.35748505524281,4.40851435050846,9.92190997539234e-06,0.0021807213290146
"NR2F1",-2.17393763384149,2.25798051613577,-4.3238701560472,1.39830813699926e-05,0.00301533277316312
"NEU4",2.63609129628662,2.84732800700264,4.31600959721314,1.44336819577797e-05,0.00305486205732341
"ADGRB2",-2.51520501147189,2.28896051545517,-4.30079539041337,1.53425586087977e-05,0.00318818367890816
"HOXA10",-2.45163244250192,2.62817481633998,-4.27814900548558,1.6798627651357e-05,0.00341605520984821
"NNMT",-3.08471169050713,2.61979278318113,-4.27476438077965,1.70369364740002e-05,0.00341605520984821
"FCRLA",2.98423897437324,2.61968309878141,4.26795880028803,1.75033743659477e-05,0.00344907009704165
"MFAP2",-2.22724966749921,2.17688999568554,-4.22031895854434,2.11431682237565e-05,0.00405103902371456
"SERPINA6",-2.04162524256408,2.18303655721738,-4.21883961132338,2.12671573561006e-05,0.00405103902371456
"CYP2A13",-2.26608364408441,2.1803506445015,-4.21225695812307,2.18285436833981e-05,0.00406698198330393
"NUAK1",-2.17902224842128,2.23358536605869,-4.20955758357947,2.20625499138021e-05,0.00406698198330393
"CLEC9A",2.63416598853679,2.76503892996763,4.18455064775995,2.43526686540188e-05,0.00441788333407589
"SLC18A2",-3.69585827226016,2.46227496665096,-4.15434308095666,2.75151607911029e-05,0.00475769626356231
"EGR1",3.20417335216173,5.49326196360746,4.15122797402797,2.77845577786087e-05,0.00475769626356231
"CNGA3",-2.62162050696163,2.17176202138421,-4.14853519407353,2.80494629774324e-05,0.00475769626356231
"PRRX2",-2.87520382624874,2.47411625758231,-4.1462923366565,2.83045508499081e-05,0.00475769626356231
"EFHB",-2.385609961004,2.91460857144304,-4.14616857955844,2.8307231247024e-05,0.00475769626356231
"SCT",-3.90069399082318,2.60238375723951,-4.14208671180402,2.89168206219494e-05,0.00478971511432261
"IGHD",3.05578225984202,2.7741443871577,4.1285714382283,3.03444589942112e-05,0.004954383169212
"NTS",-2.89536580902765,2.23492293713137,-4.06533272873579,3.87680669052782e-05,0.00624056671352711
"ADH1C",2.40566210601163,2.51318979693108,4.04031885515657,4.26631522130611e-05,0.00676265914761736
"ITGB1-DT",-3.56019917553238,2.51356041996173,-4.03802386436765,4.31948654979497e-05,0.00676265914761736
"ST8SIA6",-3.14023635437924,2.34161395749931,-4.02166304367197,4.58880649404e-05,0.00708722559734908
"FCRL4",3.10156800610091,2.57587052039664,3.99812357750961,5.02017690496292e-05,0.00762832438600343
"CTTNBP2",1.83528225835239,2.54314609552902,3.99423649750455,5.08812047060788e-05,0.00762832438600343
"GXYLT2",-2.22817215956768,2.38061459730241,-3.98950176257313,5.18082684577895e-05,0.00762832438600343
"C21orf62",-5.60538850464744,2.46681609210294,-3.99885900839287,5.20613616334122e-05,0.00762832438600343
"CREB3L3",2.27382434716963,2.37980422420549,3.97536951019591,5.46679010741272e-05,0.00790885368830633
"FAM84A",-2.01076578040379,2.32665376705326,-3.91454652160595,6.87767484514505e-05,0.00976378834712739
"MUCL1",-5.15332553222372,2.47794199338815,-3.92164672022574,6.91982549757038e-05,0.00976378834712739
"DSP",2.22622019240504,3.26771463968229,3.89339892906064,7.44517223153856e-05,0.0103769357846651
"UPK1B",1.9366394311717,2.56454240982595,3.8895514729189,7.55272983414911e-05,0.0104000179848783
"CFAP57",-2.6567934057535,2.6727658539617,-3.87884283401678,7.86428054596572e-05,0.010700102661886
"SERPINB3",2.67824654606763,2.98372525606545,3.86909941248886,8.15553796054972e-05,0.0109658403942497
"SPATA9",-2.50081144875084,2.36366826515315,-3.83965413840955,9.09564815831268e-05,0.0120876933489948
"MUC5AC",2.04641378732208,2.54425956808459,3.82469967967137,9.61048743517677e-05,0.0126054837788194
"CYR61",-2.02581609704897,2.25659830211562,-3.82202427095874,9.70585853999567e-05,0.0126054837788194
"SOX18",-2.21538605403448,2.13156781751571,-3.80450625487991,0.000103535434272954,0.0132955784079279
"UCKL1-AS1",1.98061950212123,3.45480625972259,3.80039805217504,0.000105106030059362,0.0133208727676826
"LCN2",3.07332818816333,3.56747052948033,3.79852050587993,0.000106063472032471,0.0133208727676826
